slug,terme_fr,terme_en,axe,niveau,theme,statut,couverture
accountability,Responsabilité démontrable (accountability),Accountability,reglementaire,intermediaire,cadre-juridique,a_rediger,
acculturation-ia,Acculturation à l'IA (AI literacy),AI literacy,reglementaire,fondamental,cadre-juridique,a_rediger,
acv,ACV · Analyse du Cycle de Vie,Life Cycle Assessment (LCA),responsabilite,intermediaire,impact-environnemental,publie,
ademe,ADEME et référentiels d'impact,ADEME (French environment agency),souverainete,intermediaire,impact-environnemental,a_rediger,
adoption-ia,Adoption de l'IA en entreprise,Enterprise AI adoption,economie,fondamental,prompting-usage,a_rediger,
agent-autonome,Agent autonome,Autonomous agent,fondamentaux,intermediaire,rag-agents,a_rediger,google_ml oqlf
agent-ia,Agent IA,AI agent,fondamentaux,avance,rag-agents,publie,hoko
agents-vocaux,Agents vocaux,Voice agents,economie,intermediaire,rag-agents,a_rediger,
agi,Intelligence artificielle générale (AGI),Artificial General Intelligence (AGI),fondamentaux,fondamental,architecture-modeles,a_rediger,google_ml wikipedia
ai-act,AI Act,AI Act,reglementaire,fondamental,cadre-juridique,publie,
aiaas,IA en tant que service (AIaaS),AI as a Service (AIaaS),economie,intermediaire,ecosysteme-outils,a_rediger,twilio
aipd,Analyse d'impact protection des données (AIPD),Data Protection Impact Assessment (DPIA),reglementaire,intermediaire,cadre-juridique,a_rediger,
albert,Albert · l'IA de l'État français,Albert (French state AI),souverainete,intermediaire,ecosysteme-outils,a_rediger,
algorithme,Algorithme,Algorithm,fondamentaux,fondamental,architecture-modeles,a_rediger,cafeia cnil wikipedia
alignement-ia,Alignement de l'IA,AI alignment,responsabilite,intermediaire,entrainement-apprentissage,a_rediger,oqlf
analyse-sentiments,Analyse de sentiments,Sentiment analysis,fondamentaux,intermediaire,architecture-modeles,a_rediger,google_ml oqlf
ancrage,Ancrage (grounding),Grounding,fondamentaux,intermediaire,rag-agents,a_rediger,google_genai google_ml oqlf
anonymisation,Anonymisation,Anonymization,reglementaire,intermediaire,donnees,a_rediger,
anssi,ANSSI,ANSSI (French cybersecurity agency),souverainete,fondamental,securite,a_rediger,
anthropic,Anthropic,Anthropic,economie,fondamental,ecosysteme-outils,a_rediger,
anthropomorphisme,Anthropomorphisme,Anthropomorphism,responsabilite,fondamental,prompting-usage,a_rediger,
api,API,API,fondamentaux,fondamental,ecosysteme-outils,publie,hoko
appel-fonctions,Appel de fonctions,Function calling,fondamentaux,avance,rag-agents,a_rediger,google_genai
apprentissage-actif,Apprentissage actif,Active learning,fondamentaux,avance,entrainement-apprentissage,a_rediger,cnil google_ml
apprentissage-auto-supervise,Apprentissage auto-supervisé,Self-supervised learning,fondamentaux,avance,entrainement-apprentissage,a_rediger,cnil franceterme google_ml
apprentissage-automatique,Apprentissage automatique,Machine learning,fondamentaux,fondamental,architecture-modeles,a_rediger,cafeia cnil franceterme google_ml hoko oqlf twilio wikipedia
apprentissage-continu,Apprentissage continu,Continual learning,fondamentaux,avance,entrainement-apprentissage,a_rediger,cnil oqlf
apprentissage-non-supervise,Apprentissage non supervisé,Unsupervised learning,fondamentaux,fondamental,entrainement-apprentissage,a_rediger,cnil franceterme oqlf twilio wikipedia
apprentissage-profond,Apprentissage profond,Deep learning,fondamentaux,fondamental,architecture-modeles,a_rediger,cafeia cnil franceterme hoko oqlf twilio wikipedia
apprentissage-renforcement,Apprentissage par renforcement,Reinforcement learning,fondamentaux,intermediaire,entrainement-apprentissage,a_rediger,cnil franceterme google_ml oqlf twilio wikipedia
apprentissage-semi-supervise,Apprentissage semi-supervisé,Semi-supervised learning,fondamentaux,avance,entrainement-apprentissage,a_rediger,google_ml oqlf wikipedia
apprentissage-supervise,Apprentissage supervisé,Supervised learning,fondamentaux,fondamental,entrainement-apprentissage,a_rediger,cnil franceterme oqlf twilio wikipedia
apprentissage-transfert,Apprentissage par transfert,Transfer learning,fondamentaux,intermediaire,entrainement-apprentissage,a_rediger,cnil franceterme google_ml wikipedia
arbre-pensees,Arbre de pensées (ToT),Tree of Thoughts (ToT),fondamentaux,avance,prompting-usage,a_rediger,
arene-llm,Arène de comparaison (LMArena),LLM Arena,fondamentaux,intermediaire,evaluation-qualite,a_rediger,
assistant-vocal,Assistant vocal,Voice assistant,fondamentaux,fondamental,architecture-modeles,a_rediger,
assistants-personnalises,"Assistants personnalisés (GPTs, Gems, Projets)",Custom assistants,economie,fondamental,prompting-usage,a_rediger,
attaque-adverse,Attaque par exemples adverses,Adversarial attack,responsabilite,avance,securite,a_rediger,
audit-algorithmique,Audit algorithmique,Algorithmic audit,reglementaire,intermediaire,evaluation-qualite,a_rediger,oqlf
audit-documentaire,Audit documentaire,Document audit,souverainete,intermediaire,donnees,publie,
augmentation-donnees,Augmentation de données,Data augmentation,fondamentaux,avance,donnees,a_rediger,cnil google_ml oqlf twilio wikipedia
auto-attention,Auto-attention,Self-attention,fondamentaux,avance,architecture-modeles,a_rediger,google_ml twilio
autoencodeur,Autoencodeur,Autoencoder,fondamentaux,avance,architecture-modeles,a_rediger,google_ml wikipedia
automatisation-intelligente,Automatisation intelligente,Intelligent automation,economie,fondamental,prompting-usage,a_rediger,
automl,Apprentissage automatique automatisé (AutoML),AutoML,fondamentaux,avance,entrainement-apprentissage,a_rediger,google_ml
autonomie-strategique,Autonomie stratégique européenne,European strategic autonomy,souverainete,intermediaire,ecosysteme-outils,a_rediger,
bac-a-sable,Bac à sable d'exécution,Execution sandbox,responsabilite,avance,rag-agents,a_rediger,
bac-sable-reglementaire,Bac à sable réglementaire,Regulatory sandbox,reglementaire,avance,cadre-juridique,a_rediger,
base-connaissances,Base de connaissances,Knowledge base,fondamentaux,fondamental,rag-agents,a_rediger,franceterme
base-legale,Base légale (RGPD),Legal basis (GDPR),reglementaire,intermediaire,cadre-juridique,a_rediger,
benchmark,Benchmark,Benchmark,fondamentaux,fondamental,evaluation-qualite,publie,franceterme hoko
biais-algorithmique,Biais algorithmique,Algorithmic bias,responsabilite,fondamental,evaluation-qualite,publie,oqlf
bibliotheque-prompts,Bibliothèque de prompts,Prompt library,economie,fondamental,prompting-usage,a_rediger,
big-tech,Big Tech,Big Tech,souverainete,fondamental,ecosysteme-outils,publie,franceterme
bloom,BLOOM,BLOOM,souverainete,avance,ecosysteme-outils,a_rediger,
boite-noire,Effet boîte noire,Black box effect,responsabilite,fondamental,evaluation-qualite,a_rediger,oqlf
build-vs-buy,Développer ou acheter,Build vs buy,economie,intermediaire,ecosysteme-outils,a_rediger,
bulle-filtre,Bulle de filtre,Filter bubble,responsabilite,fondamental,evaluation-qualite,a_rediger,cnil
bulle-ia,Bulle spéculative de l'IA,AI bubble,economie,fondamental,ecosysteme-outils,a_rediger,wikipedia
bureau-ia,Bureau européen de l'IA,European AI Office,reglementaire,avance,cadre-juridique,a_rediger,
c2pa,Norme C2PA · provenance des contenus,C2PA content provenance standard,reglementaire,avance,cadre-juridique,a_rediger,
cache-kv,Cache KV,KV cache,fondamentaux,avance,architecture-modeles,a_rediger,
calcul-multipartite,Calcul multipartite sécurisé,Secure multi-party computation,souverainete,avance,securite,a_rediger,cnil
capacites-emergentes,Capacités émergentes,Emergent capabilities,fondamentaux,avance,architecture-modeles,a_rediger,
caracteristique,Caractéristique (feature),Feature,fondamentaux,avance,donnees,a_rediger,cnil google_ml wikipedia
cas-usage,Cas d'usage IA,AI use case,economie,fondamental,prompting-usage,a_rediger,
certification-ia,Certification des systèmes d'IA,AI system certification,reglementaire,avance,cadre-juridique,a_rediger,
chaine-approvisionnement,Sécurité de la chaîne d'approvisionnement IA,AI supply chain security,souverainete,avance,securite,a_rediger,
chaine-pensee,Chaîne de pensée (CoT),Chain-of-thought (CoT),fondamentaux,intermediaire,prompting-usage,a_rediger,
charte-ia,Charte IA,AI charter,economie,intermediaire,cadre-juridique,publie,
chatbot,Chatbot,Chatbot,fondamentaux,fondamental,prompting-usage,publie,franceterme twilio wikipedia
chatgpt,ChatGPT,ChatGPT,fondamentaux,fondamental,ecosysteme-outils,publie,hoko
chevauchement-fragments,Chevauchement de fragments,Chunk overlap,fondamentaux,avance,rag-agents,a_rediger,
chief-ai-officer,Chief AI Officer,Chief AI Officer,economie,intermediaire,ecosysteme-outils,a_rediger,
chiffrement,Chiffrement,Encryption,souverainete,fondamental,securite,a_rediger,
chiffrement-homomorphe,Chiffrement homomorphe,Homomorphic encryption,souverainete,avance,securite,a_rediger,cnil
chips-act,Chips Act européen,European Chips Act,souverainete,avance,ecosysteme-outils,a_rediger,
chunking,Découpage en fragments (chunking),Chunking,fondamentaux,intermediaire,rag-agents,a_rediger,
classification,Classification,Classification,fondamentaux,fondamental,architecture-modeles,a_rediger,cnil oqlf
classification-information,Classification de l'information,Data classification,economie,intermediaire,securite,a_rediger,
claude,Claude,Claude,fondamentaux,fondamental,ecosysteme-outils,publie,hoko
clauses-contractuelles,Clauses contractuelles types (CCT),Standard Contractual Clauses (SCC),reglementaire,avance,cadre-juridique,a_rediger,
clauses-ia-contrats,Clauses IA dans les contrats fournisseurs,AI clauses in vendor contracts,economie,avance,cadre-juridique,a_rediger,
clonage-vocal,Clonage vocal,Voice cloning,responsabilite,intermediaire,architecture-modeles,a_rediger,
cloud-act,CLOUD Act,CLOUD Act,reglementaire,intermediaire,cadre-juridique,publie,
cloud-souverain,Cloud souverain,Sovereign cloud,souverainete,intermediaire,ecosysteme-outils,publie,
clustering,Partitionnement (clustering),Clustering,fondamentaux,intermediaire,architecture-modeles,a_rediger,google_ml
cnil,CNIL,CNIL (French data protection authority),reglementaire,fondamental,cadre-juridique,a_rediger,
co2eq,Équivalent CO₂ (CO₂eq),CO₂ equivalent,responsabilite,fondamental,impact-environnemental,a_rediger,
coaching-pragmaforma,Coaching IA,PragmaForma coaching,economie,intermediaire,ecosysteme-outils,publie,
codes-conduite-gpai,Codes de bonnes pratiques GPAI,GPAI codes of practice,reglementaire,avance,cadre-juridique,a_rediger,
comite-ia,Comité IA,AI committee,economie,intermediaire,cadre-juridique,a_rediger,
common-crawl,Common Crawl,Common Crawl,fondamentaux,avance,donnees,a_rediger,
communaute-pragmaforma,Communauté,PragmaForma community,economie,fondamental,ecosysteme-outils,publie,
complaisance-ia,Complaisance de l'IA (sycophancie),AI sycophancy,responsabilite,intermediaire,prompting-usage,a_rediger,
conduite-changement,Conduite du changement IA,AI change management,economie,intermediaire,prompting-usage,a_rediger,
confidentialite-differentielle,Confidentialité différentielle,Differential privacy,responsabilite,avance,securite,a_rediger,cnil google_ml
conformite-ia,Conformité IA (compliance),AI compliance,reglementaire,fondamental,cadre-juridique,a_rediger,
consentement,Consentement,Consent,reglementaire,fondamental,cadre-juridique,a_rediger,
consommation-eau,Consommation d'eau des data centers,AI water consumption,responsabilite,fondamental,impact-environnemental,a_rediger,
consommation-electrique,Consommation électrique de l'IA,AI electricity consumption,responsabilite,fondamental,impact-environnemental,a_rediger,
contamination,Contamination des données d'évaluation,Benchmark contamination,fondamentaux,intermediaire,evaluation-qualite,a_rediger,
contenu-genere,Contenu généré par IA,AI-generated content,fondamentaux,fondamental,prompting-usage,a_rediger,
controle-ordinateur,Contrôle d'ordinateur par IA (computer use),Computer use,fondamentaux,avance,rag-agents,a_rediger,
conversation-multitour,Conversation multitour,Multi-turn conversation,fondamentaux,intermediaire,prompting-usage,a_rediger,
copilot,Copilot (Microsoft),Copilot,economie,fondamental,ecosysteme-outils,publie,
corpus-entrainement,Corpus d'entraînement,Training corpus,fondamentaux,fondamental,entrainement-apprentissage,a_rediger,cafeia
correlation-causalite,Corrélation et causalité,Correlation vs causation,fondamentaux,intermediaire,architecture-modeles,a_rediger,
